Domanda,Risposta A,Risposta B,Risposta C,Argomento,Sottoargomento,Corretta
"In Lombardia un comune sorge isolato in territorio  svizzero, si tratta di:",a) Campione d'Italia,b) Castiglione Olona,c) Lavena-Ponte Tresa,1,1,a
Mantova è bagnata dal fiume:,a) Mincio,b) Serio,c) Bozzente,1,1,a
In quale di queste tre province si trova Bellagio:,a) Varese,b) Sondrio,c) Como,1,1,c
La cittadina di Bosisio Parini si affaccia su un  piccolo lago:,a) il lago di Idro,b) il lago di Lecco,c) il lago di Pusiano,1,1,c
Calolziocorte si trova in provincia di:,a) Bergamo,b) Lodi,c) Lecco,1,1,c
La Lomellina è una zona della provincia di:,a) Pavia,b) Milano,c) Lecco,1,1,a
Quale città della Lombardia è bagnata dal fiume  Ticino:,a) Varese,b) Mantova,c) Pavia,1,1,c
"Una di queste province non si affaccia sul lago  d'Iseo, quale ?",a) Brescia,b) Cremona,c) Bergamo,1,1,b
Il capoluogo di provincia più meridionale della  Lombardia è:,a) Como,b) Cremona,c) Pavia,1,1,b
Il fiume Brembo è affluente del fiume,a) Po,b) Mincio,c) Adda,1,1,c
Il fiume Oglio attraversa,a) Ponte di Legno,b) Ponte Chiasso,c) Seriate,1,1,a
Il fiume Mincio è emissario del,a) lago di Como,b) lago di Garda,c) lago Maggiore,1,1,b
Qual è il Passo più alto della Lombardia:,a) Passo Gavia,b) Passo di Croce Domini,c) Passo dello Stelvio,1,1,c
La provincia di Mantova confina con:,a) il Trentino Alto Adige,b) l'Emilia Romagna,c) il Piemonte,1,1,b
Il Lario è il nome di quale lago:,a) il lago di Como,b) il lago d'Iseo,c) il lago Maggiore,1,1,a
Non è una frazione del Comune di Vigevano,a) Sforzesca,b) Piccolini,c) Viscontea,1,2,c
Il Passo del Tonale si trova nella provincia di:,a) Varese,b) Lecco,c) Brescia,1,1,c
La città principale dell'Oltrepò Pavese è:,a) Suzzara,b) Chiavenna,c) Voghera,1,1,c
Tra il lago di Como e quello di Lugano si estende:,a) la Val d'Intelvi,b) la Valsassina,c) la Val di Scalve,1,1,a
In quali di questi Comuni è ubicato il Castello di  San Gaudenzio?,a) Silvano Pietra,b) Cervesina,c) Belgioioso,1,1,b
Castellanza è situata tra :,a) Legnano e Busto Arsizio,b) Gallarate e Busto Arsizio,c) Desio e Seregno,1,1,a
In quale provincia si trova il Passo del Brallo?,a) Lecco,b) Sondrio,c) Pavia,1,1,c
Quale dei seguenti fiumi interessa la provincia di  Varese?,a) Ticino,b) Brembo,c) Agogna,1,1,a
Il capoluogo di provincia più settentrionale è:,a) Sondrio,b) Lecco,c) Pavia,1,1,a
La Grigna è:,a) una montagna delle  Prealpi,b) una località della Val  Brembana,c) una collina dell'Oltrepò,1,1,a
A quale di queste province appartiene la Val di  Scalve?,a) Como,b) Bergamo,c) Pavia,1,1,b
Monteisola è:,a) una località turistica  vicina a Livigno,b) un'isola del lago d'Iseo,c) una collina nei pressi del  lago d'Endine,1,1,b
Quale di queste località si affaccia sul lago  Maggiore?,a) Laveno,b) Bellagio,c) Paratico,1,1,a
La provincia di Pavia confina :,a) con il Veneto,b) con l'Emilia Romagna,c) con la Svizzera,1,1,b
Il Po attraversa la provincia di:,a) Pavia,b) Bergamo,c) Varese,1,1,a
Il Lario è:,a) un fiume,b) un lago,c) un monte,1,1,b
Quale di questi passi si trova in Lombardia:,a) Falzarego,b) Sempione,c) Gavia,1,1,c
Quale di queste regioni non si affaccia sul lago di  Garda?,a) il Trentino-Alto Adige,b) il Friuli Venezia-Giulia,c) il Veneto,1,1,b
In quale di queste tre province si trova  Sabbioneta?,a) Lodi,b) Cremona,c) Mantova,1,1,c
Quale fiume forma il lago d'Iseo?,a) l'Oglio,b) il Brembo,c) il Serio,1,1,a
